Book-Author,count
 D. Chiel,1
 J. D. Landis,1
 Mimma Balia,1
'N Sync,1
142 moms from all over the world,1
1977 Inaugural Committee (U.S.),1
1st Graders of Samuel s Nixon School Carnegie Penn,1
21st Century Publishing,1
73 Magazine Editors,1
";Katie Stewart""",1
A &amp; C Black Ltd.,1
A &amp; E Television Network,2
A A Milne,5
A Adams,1
A Alvarez,1
A B Guthrie,2
A B Simpson,1
A Blue Mountain Arts Collection,1
A Bodenburg Sommer,1
A Dumas,1
A E Hartink,2
A E Van Vogt,2
A Finlayson,1
A First Book,1
A Frank,1
A Franquin,1
A G Eyre,1
A Ganeri,1
A H Kramer-Lampher,1
A Hunter,1
A Kollontai,1
A Lobo Antunes,1
A Martin,3
A McKeane,1
A Monk of the Eastern Church,1
A MunnÃ©-JordÃ ,1
A N Jeffares,1
A Norman Jeffares,1
A Paton,1
A Perry,1
A R Lacey,1
A Rich,2
A Ripellino,1
A S Byatt,2
A STERLING,1
A Schwarz-Bart,1
A Soljenitsyne,1
A T &amp; T,1
A'Lelia Bundles,2
A. A Milne,1
A. A.  Winnie the Pooh Milne,1
A. A.  Winnie-The-Pooh Milne,2
A. A. Attanasio,9
A. A. Carr,1
A. A. Gill,1
A. A. Hoehing,1
A. A. Hoehling,2
A. A. Milne,46
A. A. Sveshnikov,1
A. A. Winnie the Pooh Milne,1
A. Alice,1
A. Alli,1
A. Alvarez,2
A. Anatoli,1
A. Anderson-Evangelista,1
A. Avalon,1
A. B. C. Whipple,1
A. B. Guthrie,2
A. B. Simpson,1
A. B. Yehoshua,5
"A. B., Jr. Guthrie",2
A. Balfour,1
A. Barrie,2
A. Bartlett Giamatti,1
A. Bates,7
A. Bertrand,1
A. Breton,1
A. Brill,1
A. Bronte,1
A. Bruce Carlson,1
A. Bry,1
A. Buero Vallejo,1
A. C Grayling,1
A. C. (Alan C.) Weisbecker,1
A. C. (Ann C.) Crispin,1
A. C. Baantjer,2
A. C. Bhaktivedanta Swami Prabhupada,20
A. C. Bhaktivedanta Swami Prabhupada et al.,1
A. C. Bradley,1
A. C. Cawley,1
A. C. Crispin,7
A. C. Doyle,4
A. C. Fox-Davies,1
A. C. Gordon,1
A. C. Grayling,2
A. C. Green,1
A. C. H Smith,1
A. C. H. Smith,2
A. C. Parfitt,2
A. C. Prabhupada,4
A. C. Robin Skynner,1
A. C. Scott,1
A. C. Spearing,1
A. C. Weisbecker,3
A. Carman Clark,1
"A. Carman, Clark",1
A. Colin Day,1
A. Cort Sinnes,4
A. Cross,2
A. D. Ball,1
A. D. Francis,4
A. D. Harvey,1
A. D. Mills,1
A. D. Nauman,1
A. D. Smith,1
A. D. Thorp,1
A. D. Winans,1
A. Daly,1
A. Daudet,1
A. Decarlo,1
A. DhÃ?Â´tel,1
A. Dickey,1
A. Dolge,1
A. Duncan Brown,1
A. E Johann,1
A. E Van Vogt,1
A. E. (Alfred Elton) Van Vogt,1
A. E. Cannon,1
A. E. Hartnik,1
A. E. Hotchner,3
A. E. Housman,3
A. E. J Morris,1
A. E. Martin,1
A. E. Maxwell,6
A. E. Parker,5
A. E. Smith,1
A. E. Stephan,1
A. E. Van Vogt,10
A. E. W. Mason,2
A. E. Wilder-Smith,1
A. Edwards,1
A. Everitt,1
A. F Tschiffely,1
A. F. Gotch,1
A. F. Price,1
A. F. Th. van der Heijden,1
A. F. Wallace,1
A. Finnis,2
A. Frances,1
A. Francis,1
A. Franklin Parks,1
A. Fraser,1
A. G Ford,1
A. G. Cascone,18
A. G. Gravette,1
A. G. L Shaw,1
A. G. Macdonell,1
A. G. Mojtabai,1
A. G. Smith,2
A. Ganeri,1
A. Gayot,1
A. Grove Day,1
A. Gryphius,1
A. H. ALMAAS,2
A. H. Benjamin,1
A. H. Japp,1
A. Haeworth Robertson,1
A. Hallam,1
A. Henderson-Sellers,1
A. Herge,2
A. Hoehling,1
A. Hoffman,1
A. Holl,1
A. Holm,1
A. Horowitz,1
A. I. Lur'e,1
A. I. Oparin,1
A. J McClane,1
A. J Van der Bent,1
A. J. (Archibald Joseph) Cronin,1
A. J. Adler,1
A. J. Baden Fuller,1
A. J. Baime,1
A. J. Burress,1
A. J. Conyers,1
A. J. Cronin,2
A. J. Drew,1
A. J. Garrotto,1
A. J. Grassby,1
A. J. Hill,3
A. J. Holt,5
A. J. Jacobs,1
A. J. Langguth,1
A. J. Matthews,1
A. J. Meadows,1
A. J. Orde,3
A. J. Oreilly,1
A. J. Quinnell,4
A. J. Russell,4
A. J. Russo,1
A. J. Stacey,1
A. J. Verdelle,1
A. J. Wood,3
A. Jaffe,1
A. James Arnold,1
A. Jardin,1
A. Jarry,1
A. Jay Abrams,1
A. Jennings,1
A. Jones,2
A. Juno,1
A. Justin Sterling,1
A. K Dewdney,1
A. K.  Dewdney,1
A. K. Best,1
A. K. Dewdney,1
A. K. Legg,1
A. Keith Barton,1
A. Keith Furr,1
A. Kenneth Snowman,1
A. Keyton Weissinger,2
A. Kiplinger,1
A. L Karras,1
A. L. Alexander,1
A. L. Haskett,2
A. L. Kennedy,6
A. L. Lassieur,1
A. L. Rice,1
A. L. Singer,9
A. LaFaye,4
A. Lagarde,1
A. Laude,1
